"","fecha","zona","sexo","registro","mes","año","month"
"102",2020-04-03,"Estado de Jalisco","Mujeres",37,"2020-04","2020","Abril"
"103",2020-04-04,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"104",2020-04-04,"Estado de Jalisco","Mujeres",16,"2020-04","2020","Abril"
"105",2020-04-04,"AVGM","Mujeres",15,"2020-04","2020","Abril"
"106",2020-04-05,"Estado de Jalisco","Mujeres",17,"2020-04","2020","Abril"
"107",2020-04-05,"AVGM","Mujeres",14,"2020-04","2020","Abril"
"108",2020-04-05,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"109",2020-04-06,"AVGM","Mujeres",27,"2020-04","2020","Abril"
"110",2020-04-06,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"111",2020-04-06,"Estado de Jalisco","Mujeres",39,"2020-04","2020","Abril"
"112",2020-04-07,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"113",2020-04-07,"Estado de Jalisco","Mujeres",52,"2020-04","2020","Abril"
"114",2020-04-07,"AVGM","Mujeres",36,"2020-04","2020","Abril"
"115",2020-04-08,"AVGM","Mujeres",24,"2020-04","2020","Abril"
"116",2020-04-08,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"117",2020-04-08,"Estado de Jalisco","Mujeres",32,"2020-04","2020","Abril"
"118",2020-04-09,"AVGM","Mujeres",14,"2020-04","2020","Abril"
"119",2020-04-09,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"120",2020-04-09,"Estado de Jalisco","Mujeres",23,"2020-04","2020","Abril"
"121",2020-04-10,"AVGM","Mujeres",18,"2020-04","2020","Abril"
"122",2020-04-10,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"123",2020-04-10,"Estado de Jalisco","Mujeres",20,"2020-04","2020","Abril"
"124",2020-04-11,"Estado de Jalisco","Mujeres",19,"2020-04","2020","Abril"
"125",2020-04-11,"AVGM","Mujeres",16,"2020-04","2020","Abril"
"126",2020-04-11,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"127",2020-04-12,"Estado de Jalisco","Mujeres",23,"2020-04","2020","Abril"
"128",2020-04-12,"AVGM","Mujeres",22,"2020-04","2020","Abril"
"129",2020-04-12,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"130",2020-04-13,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"131",2020-04-13,"AVGM","Mujeres",28,"2020-04","2020","Abril"
"132",2020-04-13,"Estado de Jalisco","Mujeres",42,"2020-04","2020","Abril"
"133",2020-04-14,"AVGM","Mujeres",25,"2020-04","2020","Abril"
"134",2020-04-14,"Estado de Jalisco","Mujeres",31,"2020-04","2020","Abril"
"135",2020-04-14,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"136",2020-04-15,"Estado de Jalisco","Mujeres",31,"2020-04","2020","Abril"
"137",2020-04-15,"AVGM","Mujeres",25,"2020-04","2020","Abril"
"138",2020-04-15,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"139",2020-04-16,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"140",2020-04-16,"Estado de Jalisco","Mujeres",26,"2020-04","2020","Abril"
"141",2020-04-16,"AVGM","Mujeres",22,"2020-04","2020","Abril"
"142",2020-04-17,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"143",2020-04-17,"AVGM","Mujeres",21,"2020-04","2020","Abril"
"144",2020-04-17,"Estado de Jalisco","Mujeres",29,"2020-04","2020","Abril"
"145",2020-04-18,"Estado de Jalisco","Mujeres",27,"2020-04","2020","Abril"
"146",2020-04-18,"AVGM","Mujeres",24,"2020-04","2020","Abril"
"147",2020-04-18,"Puerto Vallarta","Mujeres",0,"2020-04","2020","Abril"
"148",2020-04-19,"Puerto Vallarta","Mujeres",1,"2020-04","2020","Abril"
"149",2020-04-19,"Estado de Jalisco","Mujeres",12,"2020-04","2020","Abril"
"150",2020-04-19,"AVGM","Mujeres",10,"2020-04","2020","Abril"
"151",2020-04-20,"AVGM","Mujeres",28,"2020-04","2020","Abril"
"152",2020-04-20,"Puerto Vallarta","Mujeres",2,"2020-04","2020","Abril"
"153",2020-04-20,"Estado de Jalisco","Mujeres",42,"2020-04","2020","Abril"
